video_id,start,end,text
7YItxulPbfA,14.17,17.415,"Second, I'm adding another $3,000 into QQQ."
7YItxulPbfA,17.595,20.86,That's the ETF that gives you exposure to the software and tech companies.
7YItxulPbfA,20.88,23.423,"And in the past five years, it's up 135%."
7YItxulPbfA,23.403,31.87," Third, I'm gonna add $2,000 into a high yield savings account and that way I always have some cash on hand in case there are any opportunities to buy up any dips."
7YItxulPbfA,32.051,33.258,Let me know if you have any questions.
Rf_yR9KHBuY,0.031,1.292, Do you have any financial life goals?
Rf_yR9KHBuY,1.552,3.414,I want to be a billionaire by 30.
Rf_yR9KHBuY,4.435,5.896,How do you think you're going to accomplish that?
Rf_yR9KHBuY,5.956,7.097,"So, okay, here's the goal."
Rf_yR9KHBuY,7.298,8.759,I'm going into quant finance.
Rf_yR9KHBuY,8.919,11.842,"I'm going to try and break into investment banking, but on the quant side."
Rf_yR9KHBuY,11.922,16.626,"I'm going to work in it for two years, get out of the industry, start my own sustainable private equity firm."
Rf_yR9KHBuY,16.726,22.611,Then I'm going to rack up a lot of money and then start my own offshore sustainable wind farm off the coast of North Carolina.
Rf_yR9KHBuY,22.651,25.834,And then hopefully that'll make me a lot of money.
Rf_yR9KHBuY,26.875,27.256,Wow.
Rf_yR9KHBuY,27.416,28.136,Very ambitious.
Rf_yR9KHBuY,28.457,28.697,Thank you.
Rf_yR9KHBuY,28.717,30.038,How much money do you have now?
58BlOtVG_IE,0.031,8.186," I would watch YouTube videos, and then I found a channel, his name was Rob Dom, and he made a video about what he did for a living to afford a Lamborghini Diablo."
58BlOtVG_IE,8.266,10.49,And I found that video so inspirational.
58BlOtVG_IE,10.69,15.258,"Late 2016, I made my first video about just how I got started in real estate, and I kept posting."
58BlOtVG_IE,15.338,18.664,"And I realized if I post once a week, the videos do X amount of views."
58BlOtVG_IE,18.885,23.052,"If I post twice a week, I'm all of a sudden now gaining subscribers and getting more views."
58BlOtVG_IE,23.032,26.259, A lot of people in real estate were telling me I'm wasting my time on YouTube.
58BlOtVG_IE,26.28,26.56,Of course.
58BlOtVG_IE,26.58,28.344,"Because it's like, okay, sure, you're making $100 a day."
58BlOtVG_IE,28.605,31.131,But imagine if you applied that time to real estate.
58BlOtVG_IE,31.391,36.503,"And it got to a point where it started impacting my real estate work, because in real estate, I was just thinking YouTube."
58BlOtVG_IE,36.523,36.644,Sure.
58BlOtVG_IE,36.664,37.686,That's all I wanted to do.
58BlOtVG_IE,37.967,41.996,"When COVID hit was the moment that I thought, now is a good time to try this full time."
58BlOtVG_IE,42.116,44.803,"I think 2019, I made a million dollars on YouTube."
58BlOtVG_IE,44.823,46.607,"Then you decide, I'm going all in."
9kiq7Z44Q28,0.031,5.861," Whenever I charter a jet for a flight, I always ask the stewardess what the owner of the jet does for a living."
9kiq7Z44Q28,5.942,6.643,And let me tell you something.
9kiq7Z44Q28,6.743,10.81,"They never say, oh, he started a fashion brand or he started a coffee shop."
9kiq7Z44Q28,10.87,17.502,They tell me they have boring businesses and things like waste management or that they started a software company that helps mortgage brokers.
9kiq7Z44Q28,17.662,19.005,So let's really break this down.
9kiq7Z44Q28,19.065,25.897,"The owner of the $30 million jet, the one that I have to charter for $50,000 a flight is I can't afford to buy it myself."
DmMmnSIQmx8,0.031,2.358, Made in Germany might be a thing of the past.
DmMmnSIQmx8,2.578,5.306,Germany got rich by using cheap oil to power their industries.
DmMmnSIQmx8,5.566,8.214,"But with fossil fuel prices rising, they are in deep trouble."
DmMmnSIQmx8,8.455,12.646,"And while some believe this is temporary, Germany is not the sick man."
DmMmnSIQmx8,12.927,15.053,Germany is a tired man.
DmMmnSIQmx8,15.033,18.462, the trend seems to be advanced manufacturing moving away from Germany.
DmMmnSIQmx8,18.662,26.021,"The massive advantage of being German-made is that they can charge more for advanced machinery, so paying workers more doesn't necessarily impact the price."
DmMmnSIQmx8,26.341,31.033,That and the stereotype of German engineering have been keeping their manufacturing sector afloat.
DmMmnSIQmx8,31.013,37.206, But now China has started building their own manufacturing centers and are making a lot of high-end goods for a cheaper price.
DmMmnSIQmx8,37.526,49.291,"Yes, they still make a lot of crap, but China is already by far the leading manufacturer of electric vehicles, producing more than half of all the EVs made in the world, and three times as many as Germany."
DmMmnSIQmx8,49.311,54.521,"China is really hitting Germany where it hurts, in cars, machinery, and electrical engineering."
6CmzKYS-0-8,0.031,1.436, The simplest path to making money.
6CmzKYS-0-8,1.757,3.523,"One, find a service people already buy."
6CmzKYS-0-8,3.643,7.275,"Two, do it in half the time, make it twice as easy, or remove all the risk."
6CmzKYS-0-8,7.376,10.847,"Three, ask everyone you know if they know anybody who wants it."
6CmzKYS-0-8,10.888,12.894,"Four, charge more than everyone else."
tjHUzSyw65s,0.031,2.621," If you don't have confidence, build evidence."
tjHUzSyw65s,2.641,4.669,"If you don't have evidence, build skill."
tjHUzSyw65s,4.769,6.978,"If you don't have skill, build discipline."
tjHUzSyw65s,7.138,9.427,"If you don't have discipline, build accountability."
_105iytl1n4,0.031,2.859," If you're the alpha, you don't have to announce you're the alpha."
_105iytl1n4,3.179,5.345,You just show up as the alpha.
_105iytl1n4,5.486,12.906,"And the alpha, by the way, in every tribe, from animals to humans, is usually the person who's most quiet."
_105iytl1n4,13.347,14.029,He's observing.
_105iytl1n4,14.43,15.453,He's looking to protect.
_105iytl1n4,16.134,17.077,He's looking to serve.
AJpErm8H2aU,0.031,2.054," The bottom line is, no one's coming."
AJpErm8H2aU,3.817,4.038,No one.
AJpErm8H2aU,5.52,6.402,No one's coming to push you.
AJpErm8H2aU,7.363,9.186,No one's coming to tell you to turn the TV off.
AJpErm8H2aU,10.088,12.712,No one's coming to tell you to get out the door and exercise.
AJpErm8H2aU,13.313,18.061,Nobody's coming to tell you to apply for that job that you've always dreamt about.
AJpErm8H2aU,18.081,20.786,Nobody's coming to write the business plan for you.
AJpErm8H2aU,21.367,21.988,It's up to you.
Edzn0_1pdQE,0.031,3.903, Motivation is a feeling that comes and goes and it doesn't matter whether it's there or not.
Edzn0_1pdQE,4.023,5.849,Discipline is infinitely more important.
Edzn0_1pdQE,6.009,8.297,"So no matter how you feel, get up and do what you're supposed to do."
Edzn0_1pdQE,8.437,8.778,That's it.
Edzn0_1pdQE,8.999,9.761,And that's discipline.
Edzn0_1pdQE,9.781,10.624,It's not motivation.
Edzn0_1pdQE,10.824,15.8,"If you only did what you were supposed to do when you were motivated to do it, that's leaving it to chance."
Edzn0_1pdQE,16.0,18.167,"But if you're disciplined, you go do what you're supposed to do."
48BnYG54694,0.031,4.494, The distance between your dreams and your reality right now is discipline.
o4IyHSMMGuE,0.031,5.817," When you're 18 years old, you care about what everybody is thinking about you."
o4IyHSMMGuE,5.837,11.602,"When you're 40 years old, you don't care what anybody is thinking about you."
o4IyHSMMGuE,11.622,17.848,"And when you're 60 years old, you realize that nobody was thinking about you at all."
o4IyHSMMGuE,18.189,23.354,"See, the truth is people spend their days worrying and thinking about themselves."
o4IyHSMMGuE,24.014,29.7,"So if you're basing your life around what other people think about you, quit it."
Xi651UvDtcM,0.031,3.636," You like to talk about the grind, but you don't really know what the grind's like."
Xi651UvDtcM,4.116,5.518,I know what the grind is like.
Xi651UvDtcM,5.778,6.499,I was homeless.
Xi651UvDtcM,6.76,8.202,I ate out of trash cans.
Xi651UvDtcM,8.222,10.404,"Now, go on the internet right now."
Xi651UvDtcM,10.625,12.427,I'm one of the number one speakers in the world.
Xi651UvDtcM,12.567,14.289,"People say, why you grind so hard, E?"
Xi651UvDtcM,14.61,18.094,I might not be the number one motivational speaker in the world five years from now.
Xi651UvDtcM,18.355,22.08,"I got to get everything I can get right now, every book I can write."
Xi651UvDtcM,22.5,26.525,"Listen to me, my school is being paid for by the athletic department."
Xi651UvDtcM,26.545,27.827,I'm hot right now.
Xi651UvDtcM,27.807,29.051, You gotta outgrind.
7XoPJY-VM-A,0.031,3.257, I'm a psychologist and here's a rule that I live by.
7XoPJY-VM-A,3.958,17.584,"When there's a disconnect between someone's actions and their words, so when they promise one thing but repeatedly do another, if their words and actions don't align and you don't know what to believe, believe in the behavior."
fXQuHSmEa1U,2.714,6.561," When you lose your health, you lose something."
fXQuHSmEa1U,6.843,10.347,"When you lose your character, you lose everything."
YxnUmjPy-pE,0.537,2.079," OK, so hello, everyone."
YxnUmjPy-pE,3.0,5.944,"I'm Sam, and I just turned 17."
YxnUmjPy-pE,5.964,13.634,"A few years ago, before my freshman year in high school, I wanted to play snare drum in the Foxborough High School marching band."
YxnUmjPy-pE,14.716,22.186,"However, and it was a dream that I just had to accomplish, but each snare drum and harness weighed about 40 pounds each."
YxnUmjPy-pE,22.987,25.089,And I have a disease called progeria.
YxnUmjPy-pE,25.65,29.295,"So just to give you an idea, I weigh about only 50 pounds."
YxnUmjPy-pE,29.478,33.531," So, logistically, I really couldn't carry a regular-sized snare drum."
YxnUmjPy-pE,34.453,41.074,"And because of this, the band director assigned me to play pit percussion during the halftime show."
oxb1-FYsbJ8,0.031,3.145," I think, why would you tell someone 20 that?"
oxb1-FYsbJ8,3.828,5.295,"It's like, you should feel good about who you are."
oxb1-FYsbJ8,5.315,6.119,"It's like, no you shouldn't."
oxb1-FYsbJ8,6.701,8.228,Why should you feel good about who you are?
oxb1-FYsbJ8,8.871,10.78,"It's like, you should feel good about who you could be."
IQxea9UB1nQ,0.031,1.874," This is how you open a $100,000 car door."
IQxea9UB1nQ,3.536,4.077,Pretty simple.
IQxea9UB1nQ,4.097,4.939,"$1,000,000."
IQxea9UB1nQ,4.959,8.003,"Ooh, not too hard."
IQxea9UB1nQ,10.888,11.789,I don't know how to open it.
IQxea9UB1nQ,12.51,13.672,I don't think it's down here.
IQxea9UB1nQ,14.574,16.897,"If you don't open it from the inside, I'm not sure how to."
IQxea9UB1nQ,17.238,19.621,"So, there is no door handle anywhere."
IQxea9UB1nQ,19.842,22.926,"I'm not sure how to open this door, and it's too expensive for me to touch it."
C_OKjZYmNo0,0.031,2.314, Today we're playing game pigeon paintball in real life.
C_OKjZYmNo0,2.354,3.075,This is round one.
C_OKjZYmNo0,5.599,6.06,Yes.
C_OKjZYmNo0,6.16,7.422,How?
C_OKjZYmNo0,7.542,9.024,You always pick correctly.
C_OKjZYmNo0,9.144,9.585,Round two.
C_OKjZYmNo0,11.487,11.968,Round three.
C_OKjZYmNo0,13.33,13.671,Dang it.
C_OKjZYmNo0,13.771,14.291,Round four.
C_OKjZYmNo0,15.373,15.974,"Oh, shoot."
C_OKjZYmNo0,16.815,18.237,"Ow, you stupid."
C_OKjZYmNo0,18.257,19.339,You shot me in the neck.
C_OKjZYmNo0,19.399,21.041,That was an accident.
C_OKjZYmNo0,21.121,21.682,Round five.
C_OKjZYmNo0,22.984,23.545,No.
C_OKjZYmNo0,25.908,26.369,It's tied.
C_OKjZYmNo0,26.409,27.27,Round six.
C_OKjZYmNo0,28.465,29.357, Yes!
C_OKjZYmNo0,30.066,30.492,Whoa!
C_OKjZYmNo0,30.512,31.505,"Dang it, you win!"
Jusxqvn16V8,0.031,2.431," My money don't jiggle jiggle, it folds."
Jusxqvn16V8,2.532,3.884,I like to see you wiggle wiggle.
Jusxqvn16V8,3.904,4.792,"Okay, I can't do this."
Jusxqvn16V8,4.852,5.699,My hair is itchy.
lwFGOzisNvk,0.031,4.317," The other day, I went to bed early, but when I woke up, I was on the couch."
lwFGOzisNvk,4.337,5.88,"Whatever, I guess it doesn't matter."
lwFGOzisNvk,6.1,9.225,"The next day, I locked the door to make sure nobody could come in."
lwFGOzisNvk,9.385,12.39,I went to sleep and woke up in the middle of the pool?
lwFGOzisNvk,12.67,14.052,How is this possible?
lwFGOzisNvk,14.333,17.377,"Tonight, I am going to make sure I don't go anywhere."
lwFGOzisNvk,17.397,21.483,"I tied myself tight to the bed, but when I woke up, I was on the roof?"
lwFGOzisNvk,22.044,23.446,Why is this happening?
lwFGOzisNvk,23.486,29.295,"So that night, I put a dummy in my bed to simulate I was sleeping there and waited for the culprit to come."
lwFGOzisNvk,29.275,31.067," And eventually, I saw them."
lwFGOzisNvk,31.369,34.491,I ran as fast as I could and took off the mask.
lwFGOzisNvk,34.511,34.733,What?
lwFGOzisNvk,35.015,36.565,You won't believe who it was.
wlLRxo9TWv8,0.031,1.176, crystal ball challenge.
wlLRxo9TWv8,1.317,1.859,Here we go.
wlLRxo9TWv8,4.37,5.555,I'm not going to dribble this time.
wlLRxo9TWv8,5.656,6.379,I'm learning.
rnmgnIPCS1w,0.031,1.132," Now, tell me who you are."
rnmgnIPCS1w,1.152,2.653,We are the Mistress.
rnmgnIPCS1w,3.054,3.414,Good luck.
rnmgnIPCS1w,3.434,4.075,Hope it goes well.
rnmgnIPCS1w,4.355,5.056,Thank you.
rnmgnIPCS1w,5.076,21.632,"Spy on me, baby, you satellite."
rnmgnIPCS1w,26.276,28.418,Infrared streaming through the night.
rnmgnIPCS1w,30.22,33.625, I'm gonna like the way you fire.
rnmgnIPCS1w,34.186,43.36,Come on girls To wash away my lonely blues.
rnmgnIPCS1w,43.38,54.557,"No, I can't see now You're there only when I make me fly"
rnmgnIPCS1w,0.031,1.132," Now, tell me who you are."
rnmgnIPCS1w,1.152,2.653,We are the Mistress.
rnmgnIPCS1w,3.054,3.414,Good luck.
rnmgnIPCS1w,3.434,4.075,Hope it goes well.
rnmgnIPCS1w,4.355,5.056,Thank you.
rnmgnIPCS1w,5.076,21.632,"Spy on me, baby, you satellite."
rnmgnIPCS1w,26.276,28.418,Infrared streaming through the night.
rnmgnIPCS1w,30.22,33.625, I'm gonna like the way you fire.
rnmgnIPCS1w,34.186,43.36,Come on girls To wash away my lonely blues.
rnmgnIPCS1w,43.38,54.557,"No, I can't see now You're there only when I make me fly"
1jily1VKOC4,0.031,5.848, What are you planning to do to Howie tonight?
1jily1VKOC4,5.868,6.65,He doesn't speak.
1jily1VKOC4,6.67,7.392,He doesn't speak?
1jily1VKOC4,7.412,7.512,No.
1jily1VKOC4,7.572,8.635,He does not.
1jily1VKOC4,8.655,9.839,Okay.
1jily1VKOC4,9.859,10.26,Good luck.
1jily1VKOC4,50.015,57.24, Watch this magician risk it all with a jaw-dropping stunt.
eoUBqbDyhS4,0.031,1.557, I'm a nosy American.
eoUBqbDyhS4,1.577,3.002,Why are they filming me?
eoUBqbDyhS4,3.022,3.564,"Oh, um..."
eoUBqbDyhS4,3.584,3.925,It's him.
eoUBqbDyhS4,4.347,4.869,It's all him.
eoUBqbDyhS4,4.949,6.876,"So, we're both porn stars."
eoUBqbDyhS4,6.896,7.278,"Oh, okay."
sVR9VQuFMOY,0.571,3.276, I'll kick this episode off by installing the middle stretcher.
sVR9VQuFMOY,3.497,5.781,"I glued, clamped, and screwed the parts together."
sVR9VQuFMOY,7.264,9.828,The part was fitted into place and secured with screws.
sVR9VQuFMOY,13.556,18.184,This piece of wood was added to strengthen the structure and provided a surface to attach the top.
sVR9VQuFMOY,20.048,23.895,A vise will be attached to the workbench so this section needs to be reinforced.
sVR9VQuFMOY,28.465,31.837, I found it easier to flip the workbench upside down and attach the vice.
sVR9VQuFMOY,32.499,34.004,This way I'm not fighting with gravity.
vsA8o_1tOts,0.672,5.237," Today, I'm going to show you how to make this poster design using Canva."
vsA8o_1tOts,6.359,14.168,"After opening a new Canva project, go to Elements and type Splatter."
vsA8o_1tOts,15.609,16.971,Go to Graphics.
vsA8o_1tOts,18.232,19.774,Let's choose this one.
vsA8o_1tOts,19.794,24.039,Increase the size like this.
vsA8o_1tOts,25.521,26.602,Duplicate.
vsA8o_1tOts,26.883,28.084,Make another one.
vsA8o_1tOts,28.124,29.886,Let's rotate a little bit.
vsA8o_1tOts,32.482,57.662, go to elements again and type curve brush choose this one and change the color to white color increase the size let's place it in the middle and go to text and type your text
vsA8o_1tOts,62.755,64.036, Change the font.
vsA8o_1tOts,65.898,68.641,"Let's use this font, Hal Dilson 6."
vsA8o_1tOts,70.002,73.425,Increase a little bit the size and go to effects.
vsA8o_1tOts,74.807,82.474,Scroll down to curve and make it 80.
vsA8o_1tOts,84.216,89.961,Let's increase a little bit the size and download this image.
vsA8o_1tOts,93.637,119.29, select all these elements and delete and upload the new image and drag the image that you are going to use as a background so we have two images here with the same resolution go to apps and type blend image choose this app
vsA8o_1tOts,122.307,149.04, click in this image first and use it in top layer click use selected image click in the image that we are going to use as a background and use it in bottom layer go to blend mode and scroll down to screen and click add to design and here is the final results
vsA8o_1tOts,150.809,152.546, I hope you like this tutorial.
vsA8o_1tOts,152.667,155.453,Subscribe to the channel to learn more about conf.
S2AZbZ_K8vY,0.031,3.135, These are five AI tools that I use pretty much every day.
S2AZbZ_K8vY,3.256,5.038,"Firstly, we have Claude by Anthropic."
S2AZbZ_K8vY,5.239,8.643,"I use Claude for most things rather than ChatGPT these days, because it's just way better."
S2AZbZ_K8vY,8.724,11.848,And it's also got really nice language features where you can directly talk to the app.
S2AZbZ_K8vY,11.868,14.392,"Next up is VoicePal, which is an app that my team and I actually built."
S2AZbZ_K8vY,14.532,16.234,And I use VoicePal every day for writing.
S2AZbZ_K8vY,16.315,19.74,"So instead of typing stuff out on the computer, instead I speak it into VoicePal."
S2AZbZ_K8vY,19.9,22.303,VoicePal asks me sensible follow-up questions based on what I've said.
